Day,Model,AUC,AP,Brier,Precision@15%,Recall@15%,Flagged%
14,Baseline,0.6402220381873325,0.4772430352197699,0.2843614401313475,0.6398523985239852,0.2820429407937541,15.890700129001994
14,Logistic,0.7825423584828106,0.7130064303757886,0.17526775100305844,0.8272087568412823,0.3441769681197137,14.999413627301514
14,Boosting,0.7893958617921576,0.7220925837456027,0.17183239884234497,0.8412822517591869,0.35003253090435915,14.999413627301514
28,Baseline,0.6044348219199952,0.4604671066312608,0.2969098158789727,0.6468481375358166,0.2937540663630449,16.371525741761463
28,Logistic,0.7855847109402749,0.7170099219709614,0.17484961480394032,0.8232994526974199,0.3425504229017567,14.999413627301514
28,Boosting,0.7935509942954884,0.7283257436417518,0.17080324697447502,0.8397185301016419,0.34938191281717634,14.999413627301514
56,Baseline,0.592712928281317,0.4605816720089505,0.3009851061334584,0.360501935029905,1.0,100.0
56,Logistic,0.7955769424195238,0.730047882311369,0.1713457412112344,0.8334636434714621,0.346779440468445,14.999413627301514
56,Boosting,0.8057931855361622,0.7454993124248344,0.1664287574193369,0.8553557466770915,0.35588809368900454,14.999413627301514
84,Baseline,0.5917872919122791,0.46999783407211343,0.29963644892693797,0.360501935029905,1.0,100.0
84,Logistic,0.8083124961745016,0.7466725948790915,0.16756618978240573,0.8514464425332291,0.3542615484710475,14.999413627301514
84,Boosting,0.8163308898267219,0.7575510981293916,0.16389001508948778,0.8623924941360438,0.3588158750813273,14.999413627301514
112,Baseline,0.5914748985862629,0.4730732060149506,0.2998123607364841,0.360501935029905,1.0,100.0
112,Logistic,0.8189255769507715,0.7604813461063618,0.16236833193778938,0.8655199374511336,0.3601171112556929,14.999413627301514
112,Boosting,0.8273840893393011,0.7718777055000897,0.15881016970075576,0.8811571540265832,0.36662329212752115,14.999413627301514
